7.9 83.0 760.51
7.1 50.0 309.4
6.8 60.0 200.07
8.5 78.0 448.13
6.6 51.0 73.06
6.2 59.0 336.53
7.8 71.0 200.81
7.5 66.0 458.99
7.5 78.0 301.96
6.9 44.0 330.25
6.1 72.0 200.07
6.7 58.0 168.37
7.3 53.0 423.03
7.2 55.0 291.02
8.1 69.0 623.28
6.7 45.0 241.06
6.8 58.0 179.02
7.5 59.0 255.11
7.0 66.0 262.03
6.7 53.0 105.22
7.9 66.0 258.36
6.1 51.0 70.08
8.2 75.0 408.08
5.9 41.0 65.17
7.0 59.0 652.18
7.8 81.0 304.36
6.8 58.0 234.36
7.3 65.0 268.49
6.0 35.0 402.08
5.7 32.0 245.43
6.4 44.0 234.9
6.7 53.0 202.85
6.3 57.0 191.45
5.6 39.0 116.59
8.3 92.0 414.98
6.6 49.0 125.32
7.0 63.0 202.35
8.0 74.0 233.91
7.8 72.0 228.76
7.3 55.0 144.81
6.6 50.0 90.76
7.0 64.0 101.79
6.3 42.0 352.36
6.2 65.0 317.01
7.2 69.0 237.28
7.5 68.0 158.8
5.8 49.0 166.11
5.4 40.0 47.38
6.6 44.0 126.59
7.3 52.0 155.33
9.0 82.0 533.32
8.3 88.0 292.98
7.9 79.0 318.3
7.5 83.0 73.82
5.2 31.0 102.18
6.9 40.0 325.02
7.9 71.0 100.19
5.8 32.0 150.17
8.3 94.0 356.45
7.8 77.0 364.0
7.0 57.0 312.06
6.1 57.0 155.11
7.0 56.0 241.41
7.6 79.0 208.54
7.8 70.0 259.75
6.5 60.0 93.42
7.9 74.0 222.49
7.8 72.0 189.41
5.5 32.0 103.14
8.2 74.0 217.39
8.1 76.0 333.13
8.6 74.0 187.99
8.8 74.0 292.57
7.9 58.0 303.0
7.8 70.0 127.49
6.6 65.0 281.67
6.4 34.0 77.04
7.3 32.0 47.17
6.6 38.0 89.73
7.1 61.0 318.76
7.5 71.0 292.0
6.4 49.0 227.95
7.2 65.0 256.39
8.0 96.0 206.44
6.7 40.0 179.88
7.6 74.0 400.74
7.1 54.0 206.36
