1000.0 936.0 855.0 0.0 760.51
40000.0 5000.0 1000.0 0.0 309.4
11000.0 393.0 161.0 1.0 200.07
27000.0 23000.0 23000.0 0.0 448.13
640.0 632.0 530.0 1.0 73.06
24000.0 11000.0 4000.0 0.0 336.53
799.0 553.0 284.0 1.0 200.81
26000.0 21000.0 19000.0 4.0 458.99
25000.0 11000.0 10000.0 3.0 301.96
15000.0 4000.0 2000.0 0.0 330.25
18000.0 10000.0 903.0 0.0 200.07
451.0 412.0 393.0 1.0 168.37
40000.0 5000.0 1000.0 2.0 423.03
40000.0 2000.0 1000.0 1.0 89.29
15000.0 3000.0 748.0 0.0 291.02
26000.0 21000.0 19000.0 3.0 623.28
40000.0 11000.0 1000.0 4.0 241.06
10000.0 816.0 718.0 1.0 179.02
5000.0 972.0 773.0 0.0 255.11
15000.0 10000.0 963.0 0.0 262.03
891.0 882.0 738.0 0.0 105.22
5000.0 972.0 773.0 6.0 258.36
16000.0 6000.0 1000.0 2.0 70.08
21000.0 19000.0 11000.0 0.0 408.08
14000.0 10000.0 627.0 0.0 65.17
3000.0 2000.0 1000.0 0.0 652.18
883.0 563.0 393.0 0.0 304.36
20000.0 808.0 560.0 0.0 234.36
12000.0 779.0 760.0 0.0 268.49
894.0 581.0 464.0 0.0 402.08
974.0 956.0 808.0 2.0 245.43
44000.0 15000.0 11000.0 4.0 234.9
15000.0 10000.0 825.0 0.0 202.85
1000.0 919.0 776.0 0.0 191.45
16000.0 368.0 326.0 2.0 116.59
15000.0 1000.0 721.0 3.0 414.98
23000.0 3000.0 988.0 0.0 125.32
17000.0 11000.0 1000.0 0.0 202.35
34000.0 22000.0 20000.0 7.0 233.91
19000.0 981.0 928.0 0.0 228.76
29000.0 509.0 77.0 4.0 144.81
15000.0 567.0 236.0 2.0 90.76
16000.0 968.0 919.0 0.0 101.79
894.0 829.0 581.0 2.0 352.36
11000.0 1000.0 1000.0 2.0 317.01
2000.0 1000.0 838.0 0.0 237.28
998.0 119.0 105.0 4.0 158.8
1000.0 729.0 522.0 0.0 223.81
1000.0 468.0 310.0 0.0 166.11
